label	text_a
0	参与美韩举行的“鹞鹰”联合军演的是哪艘航母？
0	中菲关系焕发新的活力的好处是什么
0	海战开始，泰国海军一共损失了三艘什么艇？
1	苏联把沙俄的"拉扎列夫海军上将"号改造后的重巡洋舰有多重？
0	AW－159 “野猫”直升机的机长是多少米？
0	哪款手枪代替了鲁格P-08成为了德军的制式手枪？
1	法国政界对法国总统的什么行为感到抵触？
0	桑普森具有什么能力？
0	中越两国的“双料将军”是谁？
0	日本宇宙航空研究开发机构(JAXA)发射的第六枚H-2A火箭，由于什么被迫实行自爆？
0	中国要与波兰深化在哪些框架下的监察与反腐败合作？
1	鼓吹M1A2T坦克是“地表最强”的岛屿把哪些坦克视为反击两栖登陆的王牌？
0	印度的哪种导弹与美国“爱国者”导弹系统类似可以同时跟踪64个目标？
0	“斯瑞克”装甲车于2003年列装美国陆军，后经多次改进，特别是提高了什么能力？
0	皇家橡树号的标准排水量是多少吨？
0	“银柳”便携式导弹的弹头重量是多少？
1	萨克森级护卫舰和90年代我国自研的051B哪一款驱逐舰排水量已经不相上下了？
0	日本的“情报搜集卫星”系统由多少颗卫星组成？
0	亚太地区唯一的国防部长级安全对话是？
1	作为”黑旋风“与直-10“霹雳火”被称为梁山好汉帮的武直是谁研制出来的？
0	公安部副部长、国家移民管理局局长许甘露对中越签署的什么协议表示祝贺？
1	目前中国海军中，建造数量最多的一款军舰的人员编制是多少？
1	演变成AH-1 "休伊眼镜蛇"的原型是在什么时候实现首飞？
0	有“中国的M113”之称的是哪辆车？
0	什么事件是日本近代史上最大的一次叛乱行动，也是1930年代日本法西斯主义发展的重要事件？
0	美国海军新型船坞登陆舰圣安东尼奥号最大排水量是多少？
0	92式9毫米手枪子弹的初速有多少米/秒呢？
1	054A型最多可以携带多少枚中国海军第一型正式列装的火箭助飞鱼雷？
0	“布拉莫斯”的发射重量是多少？
1	在直-8基础上推出的换代宽体运输直升机外部两侧还增加2个巨大的副油箱，这样的设计有什么好处？
1	30年笼罩全世界近距红外空空导弹的导弹，该导弹系列中第一种实用型导弹是哪款呢？
1	1984年我国国庆35周年阅兵上首次亮相的洲际导弹，其属于哪种燃料的洲际导弹呢？
0	AIM-260导弹的最大射程达到多少公里？
0	台湾近期采购的32发UGM-84L鱼叉II型（Harpoon Block II）潜射反舰导弹，将装配在哪款潜艇上使其提升战斗力呢？
0	“图-142”是什么设计局于上世纪60年代末研制的一种性能较为先进的岸基远程反潜巡逻机？
0	美国空军挂载JASSM导弹的战斗机机型有哪些？
1	设计并建造了K型潜艇的国家，其海军哪两艘两艘柴油机潜艇在1914年刚刚完工？
0	北约欧洲盟军最高司令柯蒂斯斯卡帕罗蒂呼吁西方与俄罗斯进行更多的交流对俄方有什么意义？
0	地平线级驱逐舰的参数是多少？
0	洛克19手枪的长度为多少？
